Preset          : IWM
Period          : 2003-01-01 -> 2026-06-11
Entry signal    : 1.05x MA200
Exit signal     : 0.95x MA200
Drop level      : 1.50%
Buy pct         : 30% per signal
Alloc base      : 10%  lev2 0%  lev3 100%
Cost per trade  : 0.100%
Cash yield      : ON (^IRX T-bill rate on idle cash)

Strategy CAGR   : 12.74%
B&H CAGR (IWM)  : 10.24%
Strategy edge   : +2.51pp
Final value     : $166,282.50
Worst year      : -23.78%
Max drawdown    : -59.55%
Sharpe ratio    : 0.46
Total trades    : 43
